Category,Sub category,Activity,cat_num,sub_num
Recreational fishing,Boat - line fishing,"Nearshore fish (e.g., whiting, herring)",1,1
Recreational fishing,Boat - line fishing,Pelagic fish,1,1
Recreational fishing,Boat - line fishing,Demersal fish,1,1
Recreational fishing,Boat - line fishing,Squid,1,1
Recreational fishing,Boat - scuba or freedive,Spear fishing,1,2
Recreational fishing,Boat - scuba or freedive,Rock lobster collection,1,2
Recreational fishing,Boat - scuba or freedive,Abalone collection,1,2
Recreational fishing,Boat - pots or nets,Rock lobster pots,1,3
Recreational fishing,Boat - pots or nets,Drop nets,1,3
Recreational fishing,Boat - pots or nets,Octopus pots,1,3
Recreational fishing,Shore-based fishing,Jetty - Rod and line,1,4
Recreational fishing,Shore-based fishing,Jetty - Drop nets,1,4
Recreational fishing,Shore-based fishing,Rock - Rod and line,1,4
Recreational fishing,Shore-based fishing,Beach - Rod and line,1,4
Recreational fishing,Shore-based fishing,Abalone collection,1,4
Recreational fishing,Shore-based fishing,Spear fishing,1,4
Recreational fishing,Shore-based fishing,Rock lobster collection (scuba or freedive),1,4
Recreation - non-fishing,Motorised water sports,Jet skiing,2,1
Recreation - non-fishing,Motorised water sports,Boating,2,1
Recreation - non-fishing,Motorised water sports,Water skiing,2,1
Recreation - non-fishing,Non-motorised water sports,Sailing,2,2
Recreation - non-fishing,Non-motorised water sports,Surfing or paddle boarding,2,2
Recreation - non-fishing,Non-motorised water sports,Kayaking,2,2
Recreation - non-fishing,Non-motorised water sports,Wind or kite surfing,2,2
Recreation - non-fishing,Swimming or snorkeling or scuba,Swimming (shore),2,3
Recreation - non-fishing,Swimming or snorkeling or scuba,Swimming (boat),2,3
Recreation - non-fishing,Swimming or snorkeling or scuba,Snorkeling (shore),2,3
Recreation - non-fishing,Swimming or snorkeling or scuba,Snorkeling (boat),2,3
Recreation - non-fishing,Swimming or snorkeling or scuba,Scuba (shore),2,3
Recreation - non-fishing,Swimming or snorkeling or scuba,Scuba (boat),2,3
Recreation - non-fishing,Wildlife watching,Whale watching,2,4
Recreation - non-fishing,Wildlife watching,Bird watching,2,4
Recreation - non-fishing,Wildlife watching,Seal or sea lion watching,2,4
Recreation - non-fishing,Other shore or land-based activities,Off road vehicle,2,5
